fileName,className,classNumber,fold
3-112356-A-18.wav,toilet_flush,2,3
3-117793-A-37.wav,clock_alarm,1,3
3-117883-A-37.wav,clock_alarm,1,3
3-118059-A-18.wav,toilet_flush,2,3
3-120526-A-37.wav,clock_alarm,1,3
3-120526-B-37.wav,clock_alarm,1,3
3-131943-A-37.wav,clock_alarm,1,3
3-132340-A-37.wav,clock_alarm,1,3
3-139958-A-37.wav,clock_alarm,1,3
3-148297-A-37.wav,clock_alarm,1,3
3-151080-A-20.wav,crying_baby,0,3
3-151081-A-20.wav,crying_baby,0,3
3-151081-B-20.wav,crying_baby,0,3
3-152007-A-20.wav,crying_baby,0,3
3-152007-B-20.wav,crying_baby,0,3
3-152007-C-20.wav,crying_baby,0,3
3-152007-D-20.wav,crying_baby,0,3
3-152007-E-20.wav,crying_baby,0,3
3-156907-A-15.wav,water_drops,3,3
3-160119-A-15.wav,water_drops,3,3
3-164592-A-15.wav,water_drops,3,3
3-164593-A-15.wav,water_drops,3,3
3-164594-A-15.wav,water_drops,3,3
3-164595-A-15.wav,water_drops,3,3
3-166324-A-15.wav,water_drops,3,3
3-166326-A-15.wav,water_drops,3,3
3-92637-A-18.wav,toilet_flush,2,3
3-93010-A-18.wav,toilet_flush,2,3
3-98771-A-18.wav,toilet_flush,2,3
4-119720-A-18.wav,toilet_flush,2,4
4-123680-A-18.wav,toilet_flush,2,4
4-126046-A-18.wav,toilet_flush,2,4
4-126532-A-18.wav,toilet_flush,2,4
4-135439-A-18.wav,toilet_flush,2,4
4-141365-A-18.wav,toilet_flush,2,4
4-145006-A-18.wav,toilet_flush,2,4
4-151242-A-37.wav,clock_alarm,1,4
4-152958-A-18.wav,toilet_flush,2,4
4-167077-A-20.wav,crying_baby,0,4
4-167077-B-20.wav,crying_baby,0,4
4-167077-C-20.wav,crying_baby,0,4
4-168155-A-15.wav,water_drops,3,4
4-169508-A-37.wav,clock_alarm,1,4
4-172366-A-37.wav,clock_alarm,1,4
4-174797-A-15.wav,water_drops,3,4
4-185575-A-20.wav,crying_baby,0,4
4-185575-B-20.wav,crying_baby,0,4
4-185575-C-20.wav,crying_baby,0,4
4-188293-A-15.wav,water_drops,3,4
4-188293-B-15.wav,water_drops,3,4
4-189332-A-37.wav,clock_alarm,1,4
4-197871-A-15.wav,water_drops,3,4
4-198841-A-37.wav,clock_alarm,1,4
4-204684-A-37.wav,clock_alarm,1,4
4-209536-A-37.wav,clock_alarm,1,4
4-209698-A-37.wav,clock_alarm,1,4
4-212604-A-15.wav,water_drops,3,4
4-212604-B-15.wav,water_drops,3,4
4-212604-C-15.wav,water_drops,3,4
4-59579-A-20.wav,crying_baby,0,4
4-59579-B-20.wav,crying_baby,0,4
